"depth","water_temperature","dissolved_oxygen","salinity","visibility","location","date"
"4.5",25.2,7.91,52.915,NA,"Back Buoy",2023-11-28
"4",25.2,7.88,52.914,NA,"Back Buoy",2023-11-28
"3.5",25.2,7.99,52.916,NA,"Back Buoy",2023-11-28
"3",25.2,8.15,52.916,NA,"Back Buoy",2023-11-28
"2.5",25.2,8.33,52.915,NA,"Back Buoy",2023-11-28
"2",25.2,8.41,52.87,NA,"Back Buoy",2023-11-28
"1.5",25.2,8.69,52.853,NA,"Back Buoy",2023-11-28
"1",25.2,8.82,52.793,NA,"Back Buoy",2023-11-28
"0.5",25.1,8.75,52.462,NA,"Back Buoy",2023-11-28
"4.5",23.5,0.85,39.1,4.5,"Back Buoy",2023-12-21
"4",23.4,6.2,38.2,4.5,"Back Buoy",2023-12-21
"3.5",23.4,6.83,38.2,4.5,"Back Buoy",2023-12-21
"3",23.4,7.8,38.3,4.5,"Back Buoy",2023-12-21
"2.5",23.4,8.09,38.4,4.5,"Back Buoy",2023-12-21
"2",23.4,8.2,38.4,4.5,"Back Buoy",2023-12-21
"1.5",23.3,8.75,38.5,4.5,"Back Buoy",2023-12-21
"1",23.1,8.73,50.4,4.5,"Back Buoy",2023-12-21
"0.5",22.9,8.72,50,4.5,"Back Buoy",2023-12-21
"4.5",24.4,0.5,38.1,4.5,"Back Buoy",2024-01-09
"4",24.4,0.85,38.4,4.5,"Back Buoy",2024-01-09
"3.5",24.7,7.25,38.9,4.5,"Back Buoy",2024-01-09
"3",24.7,8.24,39,4.5,"Back Buoy",2024-01-09
"2.5",24.6,8.75,39.1,4.5,"Back Buoy",2024-01-09
"2",24.6,8.8,39.3,4.5,"Back Buoy",2024-01-09
"1.5",24.6,8.83,39.4,4.5,"Back Buoy",2024-01-09
"1",24.6,8.85,39.7,4.5,"Back Buoy",2024-01-09
"0.5",24.5,8.87,39.8,4.5,"Back Buoy",2024-01-09
"4.5",25.3,0.51,41.1,6,"Back Buoy",2024-01-30
"4",25,4.48,41.2,6,"Back Buoy",2024-01-30
"3.5",25.1,7.5,41.3,6,"Back Buoy",2024-01-30
"3",25.2,8.5,41.5,6,"Back Buoy",2024-01-30
"2.5",25,8.6,41.8,6,"Back Buoy",2024-01-30
"2",25,8.82,42.2,6,"Back Buoy",2024-01-30
"1.5",25,9.39,42.5,6,"Back Buoy",2024-01-30
"1",25,9.67,43.3,6,"Back Buoy",2024-01-30
"0.5",25.1,9.58,43.4,6,"Back Buoy",2024-01-30
"4.5",23.2,9,51.8,4,"Back Buoy",2024-02-20
"4",23.3,9.02,51.8,4,"Back Buoy",2024-02-20
"3.5",23.1,9.3,51.9,4,"Back Buoy",2024-02-20
"3",23.1,9.6,52,4,"Back Buoy",2024-02-20
"2.5",23.2,9.7,52,4,"Back Buoy",2024-02-20
"2",23.7,9.97,52.1,4,"Back Buoy",2024-02-20
"1.5",23.9,10,52.2,4,"Back Buoy",2024-02-20
"1",24,9.95,52.2,4,"Back Buoy",2024-02-20
"0.5",24.2,9.9,52.2,4,"Back Buoy",2024-02-20
"4.5",25.2,8.09,52.877,NA,"Mid Buoy",2023-11-28
"4",25.2,8.09,52.9,NA,"Mid Buoy",2023-11-28
"3.5",25.2,8.24,52.915,NA,"Mid Buoy",2023-11-28
"3",25.2,8.42,52.915,NA,"Mid Buoy",2023-11-28
"2.5",25.2,8.58,52.925,NA,"Mid Buoy",2023-11-28
"2",25.3,8.6,52.945,NA,"Mid Buoy",2023-11-28
"1.5",25.3,8.7,52.942,NA,"Mid Buoy",2023-11-28
"1",25.3,8.84,52.88,NA,"Mid Buoy",2023-11-28
"0.5",25.2,8.95,52.775,NA,"Mid Buoy",2023-11-28
"7.5",23.7,0.34,42.8,4.5,"Mid Buoy",2023-12-21
"7",23.4,7.5,42.7,4.5,"Mid Buoy",2023-12-21
"6.5",23.3,7.65,43.2,4.5,"Mid Buoy",2023-12-21
"6",23.3,7.73,44.1,4.5,"Mid Buoy",2023-12-21
"5.5",23.3,7.75,44.5,4.5,"Mid Buoy",2023-12-21
"5",23.3,7.83,45,4.5,"Mid Buoy",2023-12-21
"4.5",23.3,7.86,51.4,4.5,"Mid Buoy",2023-12-21
"4",23.3,8.03,51.3,4.5,"Mid Buoy",2023-12-21
"3.5",23.3,8.22,51.3,4.5,"Mid Buoy",2023-12-21
"3",23.3,8.5,51.3,4.5,"Mid Buoy",2023-12-21
"2.5",23.3,8.8,51.2,4.5,"Mid Buoy",2023-12-21
"2",23.1,8.72,50.8,4.5,"Mid Buoy",2023-12-21
"1.5",22.9,8.88,50.02,4.5,"Mid Buoy",2023-12-21
"1",22.8,8.98,50.1,4.5,"Mid Buoy",2023-12-21
"0.5",22.8,9.03,50.1,4.5,"Mid Buoy",2023-12-21
"7.5",24,4.05,51.4,5,"Mid Buoy",2024-01-09
"7",24,4.82,51.5,5,"Mid Buoy",2024-01-09
"6.5",24,5.22,51.5,5,"Mid Buoy",2024-01-09
"6",24,5.85,51.5,5,"Mid Buoy",2024-01-09
"5.5",24,5.83,51.5,5,"Mid Buoy",2024-01-09
"5",24.2,6.87,51.5,5,"Mid Buoy",2024-01-09
"4.5",24.3,7.4,51.5,5,"Mid Buoy",2024-01-09
"4",24.4,7.89,51.5,5,"Mid Buoy",2024-01-09
"3.5",24.4,8.19,51.2,5,"Mid Buoy",2024-01-09
"3",24.4,8.33,51,5,"Mid Buoy",2024-01-09
"2.5",24.4,8.37,50.9,5,"Mid Buoy",2024-01-09
"2",24.4,8.47,50.9,5,"Mid Buoy",2024-01-09
"1.5",24.4,8.53,50.9,5,"Mid Buoy",2024-01-09
"1",24.4,8.48,50.9,5,"Mid Buoy",2024-01-09
"0.5",24.5,8.64,50.9,5,"Mid Buoy",2024-01-09
"7.5",25.2,0.34,41.2,6,"Mid Buoy",2024-01-30
"7",24.9,1.9,42.2,6,"Mid Buoy",2024-01-30
"6.5",24.8,2.55,42.5,6,"Mid Buoy",2024-01-30
"6",24.8,3.6,42.7,6,"Mid Buoy",2024-01-30
"5.5",24.8,4.43,43.1,6,"Mid Buoy",2024-01-30
"5",24.9,5.49,44.1,6,"Mid Buoy",2024-01-30
"4.5",24.9,6.33,44.8,6,"Mid Buoy",2024-01-30
"4",25,6.74,45.9,6,"Mid Buoy",2024-01-30
"3.5",25,7.51,49.2,6,"Mid Buoy",2024-01-30
"3",25.1,8.41,50.8,6,"Mid Buoy",2024-01-30
"2.5",25.2,8.93,51,6,"Mid Buoy",2024-01-30
"2",25.3,9.15,51.1,6,"Mid Buoy",2024-01-30
"1.5",25.2,9.35,51,6,"Mid Buoy",2024-01-30
"1",25.2,9.61,51,6,"Mid Buoy",2024-01-30
"0.5",25.3,9.51,51,6,"Mid Buoy",2024-01-30
