"date","days_btwn_sort","color","stage","count","lbs","avg_per_lbs","growth_in_lbs","growth_pct","sr"
2023-10-17,34,"Blue","In",9600,211.453744493392,45.4,20.5066079295154,0.0969791666666666,0.781629166666667
2023-10-17,34,"Blue","Out",7503.64,231.960352422907,35.4876666666667,20.5066079295154,0.0969791666666666,0.781629166666667
2023-12-06,85,"Yellow","In",9600,52.863436123348,181.6,0,0,1
2023-12-06,85,"Yellow","Out",9600,52.863436123348,181.6,0,0,1
2023-12-12,42,"Yellow","In",9990,14.6696035242291,681,78.942731277533,5.38138138138138,0.978978978978979
2023-12-12,42,"Yellow","Out",9780,93.6123348017621,99.88,78.942731277533,5.38138138138138,0.978978978978979
2024-01-02,33,"Blue","In",8568,104.845814977974,81.72,-11.6299559471366,-0.110924369747899,0.317178338001867
2024-01-02,33,"Blue","Out",2717.584,93.215859030837,25.878,-11.6299559471366,-0.110924369747899,0.317178338001867
2024-01-10,36,"Yellow","In",6003,15.1982378854626,394.98,4.62555066079295,0.304347826086956,1.49925037481259
2024-01-10,36,"Yellow","Out",9000,19.8237885462555,454,4.62555066079295,0.304347826086956,1.49925037481259
2024-01-24,22,"Blue","In",2303.28,72.4757709251101,31.78,-40.6333039647577,-0.560646729880866,1.4357583967212
2024-01-24,22,"Blue","Out",3306.9536,31.8424669603524,93.07,-40.6333039647577,-0.560646729880866,1.4357583967212
2024-01-31,57,"Yellow","In",24576,16.9162995594714,1452.8,48.8502202643172,2.88776041666667,1.50245361328125
2024-01-31,57,"Yellow","Out",36924.3,65.7665198237885,663.975,48.8502202643172,2.88776041666667,1.50245361328125
2024-02-08,44,"Yellow","In",40000,44.0528634361233,908,30.726872246696,0.6975,1.2734825
2024-02-08,44,"Yellow","Out",50939.3,74.7797356828194,555.242,30.726872246696,0.6975,1.2734825
2024-02-13,34,"Yellow","In",9000,19.8237885462555,454,19.7136563876652,0.994444444444444,1.1055
2024-02-13,34,"Yellow","Out",9949.5,39.5374449339207,276.94,19.7136563876652,0.994444444444444,1.1055
