"depth","water_temperature","dissolved_oxygen","salinity","conductivity","visibility","location","date"
"4.5",25.2,87.6,52915,NA,NA,"back buoy",2023-11-28
"4",25.2,87.3,52914,NA,NA,"back buoy",2023-11-28
"3.5",25.2,88.5,52916,NA,NA,"back buoy",2023-11-28
"3",25.2,90.2,52916,NA,NA,"back buoy",2023-11-28
"2.5",25.2,92.3,52915,NA,NA,"back buoy",2023-11-28
"2",25.2,93.1,52870,NA,NA,"back buoy",2023-11-28
"1.5",25.2,96.3,52853,NA,NA,"back buoy",2023-11-28
"1",25.2,97.7,52793,NA,NA,"back buoy",2023-11-28
"0.5",25.1,96.9,52462,NA,NA,"back buoy",2023-11-28
"4.5",23.5,8.72,NA,39.1,4.5,"back buoy",2023-12-21
"4",23.4,8.73,NA,38.2,4.5,"back buoy",2023-12-21
"3.5",23.4,8.75,NA,38.2,4.5,"back buoy",2023-12-21
"3",23.4,8.2,NA,38.3,4.5,"back buoy",2023-12-21
"2.5",23.4,8.09,NA,38.4,4.5,"back buoy",2023-12-21
"2",23.4,7.8,NA,38.4,4.5,"back buoy",2023-12-21
"1.5",23.3,6.83,NA,38.5,4.5,"back buoy",2023-12-21
"1",23.1,6.2,NA,50.4,4.5,"back buoy",2023-12-21
"0.5",22.9,0.85,NA,50,4.5,"back buoy",2023-12-21
"4.5",24.4,0.5,NA,38.1,4.5,"back buoy",2024-01-09
"4",24.4,0.85,NA,38.4,4.5,"back buoy",2024-01-09
"3.5",24.7,7.25,NA,38.9,4.5,"back buoy",2024-01-09
"3",24.7,8.24,NA,39,4.5,"back buoy",2024-01-09
"2.5",24.6,8.75,NA,39.1,4.5,"back buoy",2024-01-09
"2",24.6,8.8,NA,39.3,4.5,"back buoy",2024-01-09
"1.5",24.6,8.83,NA,39.4,4.5,"back buoy",2024-01-09
"1",24.6,8.85,NA,39.7,4.5,"back buoy",2024-01-09
"0.5",24.5,8.87,NA,39.8,4.5,"back buoy",2024-01-09
"4.5",25.3,0.51,NA,41.1,6,"back buoy",2024-01-30
"4",25,4.48,NA,41.2,6,"back buoy",2024-01-30
