"round","date","location","depth","chlorophyll_a","phosphate","silicate","nitrate_nitrite","ammonia","heterotrophic_bacteria","large_phytoplankton","synechococcus_population_1","synechococcus_population_2","prochlorococcus","lysbeths_mystery_cells_events"
"1",2023-11-28,"Back Buoy","4",2.04,0.136008065268936,19.5326274829979,0.352861580682663,0.551663769815509,6759866.66666667,45316.6666666667,1832883.33333333,82200,73166.6666666667,16700
"1",2023-11-28,"Back Buoy","0.5",0.2675,0.172553815133581,27.4258032015148,1.06982904842675,0.0759721902288861,6491183.33333333,34983.3333333333,1684616.66666667,72350,54250,13266.6666666667
"1",2023-11-28,"Mid Buoy","7.5",5.595,0.069730971006105,26.2353278382393,0.945951096796325,3.2685653257387,7585816.66666667,78016.6666666667,1846716.66666667,235600,197316.666666667,17050
"1",2023-11-28,"Mid Buoy","4",3.45,0.136568153389467,19.9848870436799,0.999980941853595,1.09342868510879,6778516.66666667,32400,1813683.33333333,78166.6666666667,63916.6666666667,17400
"1",2023-11-28,"Mid Buoy","0.5",2.58,0.057455706364468,25.0277592002293,1.16359512873778,0.113442087408121,6064683.33333333,29983.3333333333,1564583.33333333,66050,46066.6666666667,13716.6666666667
"1",2023-11-28,"Production Dock","2.75",2.415,0.061236301178052,23.8579382105912,1.19570810542967,0.32313990744037,5856783.33333333,28450,1384566.66666667,60383.3333333333,45783.3333333333,11733.3333333333
"1",2023-11-28,"Production Dock","0.5",2.76,0.0829397158486269,24.2824211998298,1.60907930094719,0.477999288002848,5806383.33333333,20600,1467483.33333333,63850,38333.3333333333,8516.66666666667
"1",2023-11-28,"Auwei","0.75",1.74,0.0493763899605137,22.8025709725201,1.62687278567717,0.293143680648198,5276316.66666667,28016.6666666667,1310716.66666667,54166.6666666667,40900,11283.3333333333
"1",2023-11-28,"Auwei","0.5",NA,0.196264212236058,12.5461075451869,1.57391702083055,1.19897598056667,1542116.66666667,11400,330783.333333333,16583.3333333333,24150,2133.33333333333
"2",2023-12-21,"Back Buoy","4",5.76923076923077,0.0487743404962381,19.5493646478421,0.745935850279202,0.1757502146462,NA,NA,NA,NA,NA,NA
"2",2023-12-21,"Back Buoy","0.5",4.824,0.183848925564289,23.0908775068833,1.18465438051495,0.504902309802525,NA,NA,NA,NA,NA,NA
"2",2023-12-21,"Mid Buoy","7.5",5.27142857142857,0.514861004798088,28.8997420374697,0.922128413790475,5.71759051787322,NA,NA,NA,NA,NA,NA
"2",2023-12-21,"Mid Buoy","4",4.13076923076923,0.139321919982077,19.2701744938462,0.871814907282118,0.122554421783883,NA,NA,NA,NA,NA,NA
"2",2023-12-21,"Mid Buoy","0.5",3.675,0.0579224464649105,18.9689055266518,0.708772464790074,0.400630326890457,NA,NA,NA,NA,NA,NA
"2",2023-12-21,"Production Dock","2.75",4.26,0.0511547150084947,17.8425299436304,0.748032246383717,0.221722195464159,NA,NA,NA,NA,NA,NA
"2",2023-12-21,"Production Dock","0.5",2.4,0.101235927785972,24.2866945185134,1.18751310247565,0.464760329193977,NA,NA,NA,NA,NA,NA
"2",2023-12-21,"Auwei","0.75",2.33076923076923,0.169099938390307,23.2265553750879,1.16616797850241,0.542129290306368,NA,NA,NA,NA,NA,NA
"2",2023-12-21,"Auwei","0.5",1.485,0.0814928215372552,19.5034264719933,0.75289207371691,0.127591983749712,NA,NA,NA,NA,NA,NA
"3",2024-01-09,"Back Buoy","4",2.55,0.0515281070888486,19.5404619005845,1.0370490366107,0.02,6318600,67933.3333333333,1518700,366416.666666667,349666.666666667,12333.3333333333
"3",2024-01-09,"Back Buoy","0.5",3.27,0.0568489442338928,17.4187591741725,0.791770692382459,0.02,6339433.33333333,50033.3333333333,1804333.33333333,286566.666666667,246900,19933.3333333333
